short_name,player_positions,overall,potential,wage_eur,age,club_contract_valid_until,nationality_name,preferred_foot,weak_foot,skill_moves,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,value_eur
T. Okubo,LM,61,67,2000,22,2022,Japan,Left,3,2,788000,66,56,56,68,33,46,58,55,41,56,42,70,55,60,54,68,70,62,71,51,77,61,60,53,41,56,47,30,53,57,55,48,28,35,35,6,7,13,11,10,0,525000
S. van Ottele,"CB, CDM",61,73,850,19,2024,Netherlands,Right,2,2,1200000,51,32,46,45,61,68,42,26,60,56,36,41,30,33,52,44,47,55,49,54,57,44,71,65,75,30,52,53,28,36,38,54,57,70,64,14,13,6,9,11,0,725000
J. Mercado,"RB, CM",61,66,500,24,2021,Bolivia,Right,2,2,1000000,61,44,54,55,60,56,65,45,61,55,29,52,32,28,51,56,65,57,56,53,71,43,58,71,49,47,52,55,40,57,39,61,62,62,54,13,11,14,13,15,0,450000
Jaime Santos,"RW, LW",61,61,500,26,2021,Spain,Right,4,3,753000,66,64,59,61,44,66,56,60,61,63,45,61,51,67,59,62,67,65,63,51,67,70,59,65,70,72,59,42,63,53,58,58,40,45,43,12,12,12,19,18,0,350000
K. Nagai,GK,61,65,700,26,2022,Japan,Right,2,1,464000,50,50,50,50,50,50,18,8,12,28,8,6,12,18,30,12,36,48,40,57,46,40,66,31,52,7,26,14,6,38,20,46,14,16,13,66,59,53,57,61,41,350000
K. Lomónaco,CB,61,76,1000,19,2023,Argentina,Right,3,2,1500000,61,27,33,38,62,66,27,21,64,36,26,28,32,28,38,43,63,59,49,56,54,41,69,63,72,24,54,58,23,29,40,45,57,68,66,6,10,13,10,14,0,725000
C. Sandra,"CAM, LM, CF",61,80,550,17,2023,Belgium,Left,4,3,1700000,66,60,61,65,34,59,58,60,47,66,57,64,58,59,57,65,65,67,74,53,75,63,64,58,61,61,55,29,49,57,60,50,32,34,32,15,12,12,6,6,0,825000
J. Haliti,"CB, RB",61,68,1000,24,2023,Sweden,Right,2,2,870000,91,30,45,53,61,67,42,28,50,60,25,48,27,28,46,55,90,91,74,55,60,38,56,70,72,26,55,63,29,30,31,41,63,63,60,5,8,12,13,13,0,600000
F. Castet,LB,61,67,2000,22,2021,Argentina,Left,3,2,825000,70,29,48,58,56,62,60,27,44,50,29,56,49,34,46,56,68,71,69,54,73,25,57,73,58,27,60,56,58,39,39,45,57,57,57,12,8,6,7,12,0,500000
R. Street,"ST, CAM",61,74,6000,19,2022,England,Right,3,2,2000000,56,62,45,57,29,54,31,63,77,56,51,58,40,31,37,60,54,57,48,52,51,65,66,60,50,58,54,19,59,49,70,55,25,24,25,11,12,6,15,13,0,775000
A. Pressley,ST,61,74,5000,19,2022,Scotland,Right,3,2,0,70,60,43,58,23,68,31,64,59,52,54,57,36,30,31,60,68,72,54,58,57,57,68,59,74,55,66,18,63,53,56,58,17,21,20,9,12,8,7,6,0,775000
J. Semidey,GK,61,63,500,27,2022,Venezuela,Right,3,1,668000,50,50,50,50,50,50,14,6,13,24,9,6,10,11,22,10,20,30,32,38,23,43,36,22,62,8,24,9,4,37,14,33,6,10,12,61,64,57,62,64,24,300000
T. Romero,GK,61,72,700,20,2023,El Salvador,Right,2,1,1100000,50,50,50,50,50,50,10,7,13,29,7,5,12,13,34,19,28,28,38,55,49,46,59,23,55,6,17,13,7,39,17,26,5,12,11,63,59,61,59,61,28,625000
S. Fujiwara,"LM, RM",61,70,700,20,2022,Japan,Right,3,3,1100000,70,56,49,66,39,51,51,58,31,53,50,70,45,53,49,63,68,71,64,59,82,56,53,63,42,54,58,32,63,38,52,51,40,44,40,14,12,13,14,15,0,725000
M. Lachuer,"CAM, CM, CDM",61,75,900,20,2025,France,Left,2,2,1900000,77,45,66,66,35,31,61,42,31,70,60,65,57,64,70,65,79,76,76,48,84,48,33,34,30,42,27,18,43,62,53,65,31,48,47,8,10,8,15,11,0,800000
L. Petkov,"CM, CAM",61,71,3000,20,2022,Germany,Right,4,2,0,75,52,61,66,51,58,52,50,49,66,50,68,63,49,65,65,73,77,67,56,62,66,55,62,60,44,47,43,55,63,54,61,52,54,59,13,8,10,9,7,0,725000
R. Ascone,CM,61,80,700,17,2024,France,Left,2,3,2100000,66,47,60,66,50,50,43,44,55,69,41,65,55,47,65,67,65,66,71,57,71,56,66,44,46,43,64,46,59,62,54,65,42,57,55,14,6,8,8,9,0,825000
B. Racovițan,CB,61,69,1000,21,2024,France,Right,2,2,1100000,65,32,37,44,60,68,24,28,57,53,26,33,28,24,41,56,63,66,42,57,55,34,71,59,74,41,63,55,23,25,33,51,62,63,60,10,13,10,10,15,0,700000
B. Valdez,LB,61,75,1000,19,2023,Argentina,Left,3,2,1600000,73,42,48,58,59,61,53,36,50,52,26,64,48,43,40,49,77,70,64,52,68,61,55,71,58,40,55,55,45,42,41,51,56,65,62,14,7,14,12,5,0,750000
N. John,CAM,61,80,4000,18,2023,England,Right,4,2,2100000,62,56,58,66,39,51,48,54,47,61,57,67,61,55,58,65,64,60,62,57,68,64,54,42,55,52,50,26,55,61,61,68,44,39,44,7,8,6,8,6,0,825000
C. Verfurth,CB,61,68,1000,25,2021,United States,Right,3,2,1000000,63,49,50,61,61,69,22,38,57,67,22,67,24,18,62,65,62,64,45,46,35,62,76,64,81,59,43,56,53,53,71,59,60,67,58,11,12,6,13,15,0,600000
F. Genç,LB,61,70,3000,21,2024,Turkey,Left,2,2,1500000,67,42,43,58,60,59,56,39,54,42,40,61,62,39,26,58,68,67,53,56,63,50,58,60,60,42,56,55,49,40,39,46,58,65,63,7,10,15,10,14,0,700000
L. Richardson,ST,61,76,2000,18,2022,England,Right,3,2,2000000,67,60,47,63,26,53,38,62,60,53,58,62,52,34,43,64,70,64,65,54,71,61,65,61,56,53,31,19,62,52,57,61,26,23,18,10,6,7,9,12,0,775000
A. Scott,CAM,61,79,750,17,2025,England,Right,3,3,2100000,72,44,62,68,41,53,58,38,48,64,48,68,62,60,59,64,74,70,82,54,82,53,60,70,47,44,44,26,50,65,52,63,41,45,48,9,10,15,12,8,0,825000
P. Sabroso,ST,61,70,500,21,2021,Peru,Right,3,3,1800000,62,66,41,57,22,65,33,70,68,45,50,55,36,33,35,61,63,62,58,55,55,66,61,67,69,65,55,19,52,49,68,55,11,20,20,8,7,9,14,14,0,750000
R. Berlinski,ST,61,62,600,26,2022,Germany,Right,3,2,610000,79,62,49,57,31,61,38,64,53,53,58,54,54,42,49,55,82,76,66,56,69,63,75,57,64,56,54,27,64,53,65,60,28,30,28,8,6,6,6,8,0,400000
L. Cingolani,RW,61,73,2000,20,2022,Argentina,Right,2,2,1400000,74,59,54,61,25,42,56,61,54,57,56,61,51,45,49,59,76,73,74,56,70,58,58,61,34,60,35,23,57,53,54,51,25,18,20,7,13,12,11,10,0,800000
N. Laméndola,"RM, CM",61,70,2000,22,2024,Argentina,Right,3,2,1200000,64,53,58,62,50,51,58,51,49,62,51,63,53,46,59,60,65,64,56,60,69,59,39,62,43,47,62,49,59,56,63,63,46,52,58,12,5,8,7,12,0,725000
J. Cano,CM,61,69,500,20,2021,Peru,Right,3,3,1700000,62,55,58,60,57,57,46,57,55,65,49,59,48,45,62,63,65,59,55,60,70,55,60,61,55,48,55,60,61,58,61,48,55,60,48,8,14,10,8,12,0,725000
S. Sabetkar,CB,61,64,700,26,2023,Sweden,Right,3,2,497000,59,27,43,42,61,67,35,23,58,62,22,27,24,31,38,59,56,62,46,54,55,44,66,66,73,18,52,56,22,27,42,44,60,66,58,10,11,9,10,6,0,375000
S. Kartum,"CM, CAM",61,66,850,25,2023,Norway,Right,3,2,629000,59,51,56,62,52,65,47,49,49,61,40,62,51,44,56,64,60,59,56,62,71,59,57,77,59,48,66,56,64,59,41,49,44,58,53,13,9,15,8,9,0,475000
D. Hernández,LB,61,74,500,19,2025,Venezuela,Left,2,2,2100000,69,29,48,53,57,51,57,29,54,56,23,50,32,31,40,53,70,68,62,57,78,25,60,66,44,28,45,58,57,39,33,42,56,60,56,12,11,12,8,10,0,750000
S. Yendis,"CM, RM",61,66,500,22,2025,Venezuela,Right,2,2,1100000,62,55,56,62,54,53,50,59,45,62,33,65,32,31,60,58,60,63,61,60,77,48,57,63,49,60,50,60,60,60,40,41,42,63,57,13,14,10,12,6,0,500000
G. Vargas,LM,61,71,500,20,2022,Venezuela,Left,3,3,1700000,64,48,59,59,23,49,65,55,40,65,43,60,40,33,60,58,67,61,60,57,71,44,50,65,48,33,30,19,55,54,49,46,22,23,21,12,14,10,15,11,0,725000
S. Coulibaly,CB,61,81,500,17,2026,France,Left,3,2,2300000,62,36,48,57,59,61,34,30,63,62,27,57,28,25,61,60,62,62,58,54,49,56,75,48,68,35,57,52,29,36,32,49,54,65,66,5,14,13,10,11,0,850000
D. Céspedes,"LB, CM",61,71,500,19,2023,Bolivia,Left,3,2,1600000,67,56,60,60,58,60,58,55,48,63,50,60,50,55,61,58,65,68,67,55,67,55,60,70,55,57,60,60,61,58,60,55,59,60,50,11,11,14,10,6,0,675000
E. Olivares,LB,61,78,500,18,2023,Bolivia,Left,3,2,2200000,70,47,54,59,60,55,55,44,55,58,44,65,35,55,50,51,70,70,55,55,65,50,60,55,55,45,55,60,45,55,66,58,60,61,60,12,12,9,14,7,0,800000
M. Huamán,"RM, RB, RW",61,75,500,18,2022,Peru,Right,3,2,2100000,64,57,59,62,49,54,65,55,44,59,55,70,45,60,58,55,65,63,57,57,63,60,62,61,50,60,55,49,50,57,61,45,38,61,55,7,9,13,9,13,0,750000
N. Rojas,"RB, RM",61,71,500,19,2023,Paraguay,Right,3,2,1600000,71,50,50,58,56,58,54,45,50,55,57,59,33,48,33,58,70,72,55,55,65,51,55,65,55,55,55,58,50,57,55,55,52,60,60,14,6,8,6,12,0,675000
A. Wahib,LB,61,72,1000,21,2023,Morocco,Left,3,2,1400000,70,38,50,58,55,59,56,33,49,58,32,58,39,35,50,58,68,71,61,56,70,45,69,69,54,38,56,52,49,36,42,44,52,59,59,14,13,6,14,13,0,700000
R. Di Luciano,RB,61,77,500,17,2024,Argentina,Right,3,2,1600000,62,32,47,54,57,44,63,32,45,49,29,61,31,36,45,43,66,59,54,57,73,32,54,66,30,25,50,59,48,38,42,44,52,63,66,12,12,9,15,5,0,775000
I. Rodríguez,CM,61,74,2000,19,2022,Argentina,Left,2,2,1600000,56,56,60,63,51,41,53,58,41,66,42,63,53,49,65,64,63,50,61,63,61,61,49,38,39,49,47,60,63,59,49,56,44,54,55,6,10,7,6,13,0,775000
M. García,"CM, CDM",61,71,500,21,2022,Uruguay,Right,3,2,1700000,68,49,59,63,51,61,47,46,48,65,38,65,44,45,62,59,70,66,65,64,70,54,62,66,62,54,51,57,54,67,45,49,49,51,44,12,6,9,8,7,0,725000
J. Grimaldo,"CAM, RW",61,80,500,18,2023,Peru,Right,3,2,2300000,72,57,59,63,36,52,55,60,35,65,44,63,48,51,58,65,71,73,62,53,65,55,53,58,51,55,45,33,55,58,60,53,44,30,33,10,10,6,5,7,0,825000
F. Ovelar,"RW, RM, LW",61,81,500,17,2022,Paraguay,Left,3,3,2800000,72,58,53,64,48,51,58,55,45,55,55,65,53,45,38,62,74,70,67,55,63,65,42,51,58,57,35,45,60,57,61,62,45,55,45,12,13,13,8,7,0,900000
Metinho,"CDM, CM",61,80,850,18,2026,Congo DR,Right,2,2,2100000,68,48,57,63,60,57,51,45,67,66,42,63,41,40,60,65,66,70,67,59,50,59,53,70,49,39,61,51,59,52,61,65,63,62,60,10,6,8,8,12,0,800000
L. Cissé,"RM, ST",61,74,500,18,2024,France,Right,3,3,1800000,76,54,52,68,20,45,63,57,49,54,42,69,57,49,34,67,78,74,78,51,77,53,63,52,43,49,36,15,54,52,56,58,17,19,17,7,6,9,13,14,0,750000
S. Pattynama,LB,61,69,850,22,2023,Netherlands,Left,3,2,1000000,65,46,57,59,54,65,61,41,48,61,44,54,48,28,57,63,66,65,67,54,63,51,62,71,67,49,55,52,59,57,41,56,49,60,56,10,14,8,14,12,0,700000
M. Doucouré,ST,61,73,1000,21,2024,France,Right,2,3,1600000,69,59,44,59,31,69,29,60,67,53,54,61,45,41,34,57,66,71,61,49,59,64,68,57,80,54,57,29,57,49,60,58,26,27,21,14,8,12,11,9,0,800000
A. Sanogo,"RM, CF",61,68,2000,22,2022,Côte d'Ivoire,Right,3,2,1100000,73,53,56,64,23,48,58,54,40,59,44,66,51,36,51,63,74,72,69,52,68,62,55,51,55,47,27,23,51,57,48,56,17,23,27,7,11,10,11,6,0,675000
E. Bove,CM,61,76,4000,19,2024,Italy,Right,3,2,1800000,64,50,59,62,52,50,51,43,58,68,41,60,41,46,67,65,63,65,59,60,79,63,63,55,40,50,64,49,66,53,52,43,44,57,62,8,7,7,12,7,0,775000
H. Matriciani,"RB, CB",61,69,1000,21,2022,Germany,Right,3,2,1300000,61,33,48,53,62,61,53,32,57,52,33,52,40,40,48,54,60,62,54,56,56,33,61,60,62,30,60,62,49,41,47,41,63,63,60,14,7,9,15,7,0,700000
M. Simba,"RW, LW",61,72,900,21,2024,Sweden,Left,2,4,1100000,75,56,54,65,33,64,54,58,35,59,49,67,51,42,47,66,74,75,72,48,70,59,58,68,72,53,40,36,52,53,53,48,42,23,27,12,14,7,9,10,0,725000
P. Bos,GK,61,65,950,24,2023,Netherlands,Right,2,1,572000,50,50,50,50,50,50,10,7,12,19,6,9,11,12,26,19,28,28,36,49,24,44,30,18,62,7,20,10,7,24,17,31,8,14,13,63,62,58,60,63,28,375000
Guilherme Soares,CB,61,70,2000,20,2022,Portugal,Right,2,2,1500000,56,29,42,44,62,64,33,26,53,53,33,40,32,28,50,44,58,54,49,51,54,42,74,61,67,21,59,58,28,30,39,49,60,68,68,6,7,12,15,7,0,675000
A. Rodríguez,"CAM, LW, CF",61,78,500,17,2023,Argentina,Right,3,2,1800000,68,43,60,65,40,45,52,44,33,66,46,65,46,50,63,65,73,63,73,56,68,44,55,54,39,34,44,29,57,62,50,55,41,46,49,7,15,5,9,5,0,825000
V. Poggi,CDM,61,71,650,18,2022,Uruguay,Right,3,2,1200000,68,42,50,59,60,64,32,43,43,59,32,59,39,41,52,58,67,69,60,61,76,47,70,68,63,35,59,62,51,58,48,43,60,63,60,8,7,8,14,12,0,650000
F. Al Azmi,LB,61,62,3000,26,2024,Saudi Arabia,Left,3,2,604000,78,42,52,58,56,60,53,41,50,54,29,57,43,48,51,56,80,77,64,57,72,43,63,67,59,41,53,60,57,53,42,60,57,55,56,11,14,7,10,11,0,350000
M. Diongue,CM,61,61,1000,29,2025,France,Left,3,2,569000,66,59,57,63,54,55,49,60,42,66,52,60,37,41,61,63,71,62,76,61,74,58,54,67,49,62,54,54,60,55,52,58,52,59,56,6,13,11,9,6,0,325000
M. Haddad,"LM, LW",61,64,1000,24,2022,Tunisia,Right,3,3,821000,60,62,53,69,19,39,67,64,28,56,53,73,63,45,42,69,56,63,52,48,86,62,46,34,43,59,33,20,65,41,65,63,22,14,12,8,9,14,6,5,0,450000
S. Crowther,ST,61,70,1000,21,2022,Netherlands,Right,3,2,1200000,49,63,44,55,29,69,40,65,72,50,51,56,37,31,42,59,48,50,50,51,39,65,68,64,75,59,58,21,61,43,65,54,23,26,28,13,8,14,14,5,0,750000
L. Goge,"LB, LM",61,61,2000,29,2022,Romania,Left,4,2,405000,61,44,51,56,59,68,56,42,53,54,39,55,41,39,47,52,58,64,71,55,69,46,57,63,75,45,59,60,48,51,48,51,55,64,62,7,15,13,5,14,0,300000
A. Sefer,"RM, CM",61,73,1000,21,2023,Romania,Left,4,3,1200000,79,54,57,60,48,56,58,52,48,58,48,56,45,58,56,57,80,79,83,52,77,59,32,60,57,53,56,43,59,58,56,54,46,52,50,14,7,6,11,10,0,800000
Iker Unzueta,"ST, LM",61,68,1000,22,2022,Spain,Right,3,3,1200000,64,65,47,60,22,57,38,71,68,51,53,64,49,50,41,55,63,65,65,57,58,57,57,58,66,64,35,18,54,53,70,53,19,15,18,7,13,13,9,12,0,675000
Jorge Aguirre,ST,61,74,1000,21,2022,Spain,Right,3,3,1700000,55,64,49,61,23,55,34,66,66,60,54,65,46,43,43,61,54,56,50,56,59,62,70,55,62,61,32,17,59,52,71,48,15,21,17,14,6,7,9,8,0,800000
Y. Becker,LM,61,61,800,30,2022,Germany,Right,4,2,471000,70,58,59,62,27,47,58,60,39,65,60,62,56,44,59,60,70,70,71,43,76,65,42,53,46,49,45,19,60,52,53,54,22,32,33,8,15,8,8,8,0,325000
A. Tsilingiris,GK,61,72,500,20,2023,Greece,Right,1,1,1500000,50,50,50,50,50,50,13,5,14,17,6,6,13,13,23,19,17,29,21,60,21,47,38,25,59,6,21,13,7,35,13,27,7,14,13,60,58,62,61,60,22,625000
S. Gavriel,CAM,61,74,500,19,2023,Cyprus,Right,3,2,2200000,62,56,56,62,29,46,45,63,32,63,39,65,48,35,58,62,61,62,54,54,60,45,58,43,48,60,41,21,58,59,42,54,35,27,30,9,9,11,11,10,0,775000
M. Hippe,CB,61,67,850,23,2025,Germany,Right,4,2,784000,61,24,33,40,61,70,25,20,64,43,28,33,27,25,31,46,56,65,43,59,31,34,63,61,80,21,58,55,26,29,29,55,62,63,58,11,6,6,10,9,0,475000
N. Atubolu,GK,61,75,1000,19,2025,Germany,Right,3,1,1600000,50,50,50,50,50,50,12,8,13,17,8,11,13,12,15,14,35,36,32,52,31,44,60,29,61,9,26,13,9,34,14,31,12,12,12,63,60,59,57,64,35,675000
C. Kammerknecht,"CB, RB",61,69,600,21,2022,Germany,Right,3,2,1200000,58,23,44,45,61,68,41,19,60,54,18,39,36,27,48,46,60,56,62,54,57,29,81,56,77,24,57,58,27,31,28,42,61,63,62,5,10,15,10,8,0,700000
G. Furrer,"ST, CF",61,71,800,20,2022,Switzerland,Right,3,2,1200000,63,61,52,62,24,54,51,64,54,56,59,61,45,48,39,61,63,63,71,59,71,63,51,65,59,53,29,23,62,56,58,45,18,22,19,9,6,14,6,12,0,725000
M. Cachbach,CAM,61,71,2000,20,2022,Belgium,Right,3,3,0,66,51,65,62,50,48,59,50,55,70,49,63,59,49,74,64,60,70,52,51,75,59,55,48,47,43,48,35,60,63,54,63,49,58,56,14,6,8,7,8,0,725000
Pedro Machado,CB,61,67,2000,25,2022,Portugal,Right,2,2,698000,57,21,32,30,60,76,20,15,62,42,25,23,25,21,35,31,61,54,38,55,41,31,74,65,86,20,63,59,22,31,34,42,58,63,58,6,14,7,8,8,0,450000
T. Engelking,LM,61,64,500,25,2022,Germany,Left,2,2,648000,76,59,56,61,34,56,60,59,48,57,55,61,48,45,48,60,74,77,72,49,69,64,70,63,58,57,40,29,58,59,45,54,34,33,33,6,14,14,12,15,0,425000
O. Schmitt,LW,61,71,4000,21,2023,Germany,Right,2,2,0,82,53,56,63,32,51,60,55,44,60,53,64,51,40,51,62,83,82,71,41,72,60,61,51,58,40,31,23,54,54,54,54,32,35,27,15,5,10,7,10,0,725000
L. Prokop,LB,61,69,2000,22,2023,Austria,Left,3,2,1200000,71,38,52,60,55,59,62,31,45,56,29,57,48,41,44,59,74,68,72,56,78,54,74,71,56,40,48,55,44,47,35,52,52,61,55,6,5,11,10,12,0,700000
A. Cierpka,"CDM, CM",61,63,1000,26,2022,Poland,Right,3,2,534000,73,50,58,60,57,73,58,49,59,61,37,58,59,55,58,60,71,74,67,64,72,55,71,77,75,52,61,58,45,53,51,51,55,57,54,13,11,12,12,14,0,375000
D. Orsi,ST,61,66,2000,25,2023,England,Right,3,3,867000,73,59,47,60,24,62,42,61,58,51,56,59,39,44,38,58,72,74,70,57,69,60,70,74,69,55,29,18,62,53,61,59,20,23,19,9,14,11,11,13,0,475000
C. Ezekwem,CB,61,67,500,22,2023,Germany,Right,3,2,784000,54,25,40,41,60,74,28,23,65,55,27,36,27,21,41,47,55,53,34,58,29,33,36,61,92,17,54,59,26,31,33,51,61,62,52,10,12,8,6,10,0,475000
J. Heuer,"RB, CB",61,68,2000,21,2023,Germany,Right,3,2,1100000,61,28,50,50,62,65,44,22,61,60,23,49,23,26,55,54,58,63,40,54,51,39,67,61,68,24,64,56,43,47,36,46,60,67,64,13,9,9,9,12,0,625000
T. Korzuschek,"LM, RM, CAM",61,67,1000,22,2023,Germany,Left,3,2,866000,70,56,54,62,27,56,54,59,53,58,51,64,42,39,47,61,71,70,72,48,68,58,51,72,52,47,48,18,55,59,54,46,23,28,24,9,15,9,14,12,0,525000
T. Sechelmann,"LB, CDM",61,68,750,22,2023,Germany,Left,2,2,1000000,62,33,53,56,58,62,58,33,47,61,34,52,48,35,58,63,64,60,58,57,57,33,64,62,66,32,50,62,40,34,37,45,54,62,58,15,11,14,7,14,0,625000
A. Konstantopoulos,CB,61,77,600,18,2024,Greece,Right,2,2,1600000,65,26,46,58,59,67,29,22,62,59,24,56,26,27,58,61,57,72,58,57,52,38,59,60,72,23,63,56,23,41,36,59,55,62,60,15,12,11,5,11,0,775000
H. Bah-Traoré,"RB, RM",61,65,750,24,2025,Germany,Right,3,2,648000,78,33,44,57,58,67,44,28,45,51,33,52,43,29,43,56,76,80,73,58,80,50,81,67,69,27,57,57,42,37,30,60,60,59,61,11,7,11,13,10,0,425000
Y. Guermouche,ST,61,75,4000,20,2022,France,Right,3,2,2100000,65,62,48,58,23,61,38,67,66,56,45,61,45,42,39,57,63,66,59,55,45,60,65,55,73,55,38,19,58,54,64,55,15,21,14,8,13,14,9,8,0,800000
O. Strunz,"ST, CF",61,73,4000,21,2024,Austria,Right,3,2,1400000,67,61,41,56,29,72,33,63,67,46,52,52,45,37,28,57,63,70,65,57,64,62,68,67,79,56,63,24,60,51,59,57,28,21,25,12,6,7,12,10,0,800000
Tomás Händel,"CAM, CM",61,71,1000,20,2026,Portugal,Left,2,2,1700000,72,45,61,68,45,45,56,44,46,65,48,69,59,49,61,68,77,68,71,58,68,58,53,49,42,32,43,31,41,63,63,58,42,54,53,6,7,13,14,12,0,725000
M. Faßbender,"RM, LM, ST",61,69,500,22,2023,Germany,Right,3,2,1200000,83,54,52,59,23,63,52,55,39,59,61,60,44,31,44,60,81,85,66,50,63,63,47,73,63,40,55,24,59,55,54,43,16,26,20,11,7,9,13,9,0,725000
C. Keles,"LM, RM",61,73,2000,19,2023,Austria,Left,4,2,1300000,74,53,54,63,26,55,58,53,45,58,52,66,50,35,50,63,72,76,60,49,64,58,47,65,59,46,32,20,53,50,53,48,25,23,27,7,9,14,9,13,0,775000
L. Münst,"CM, CAM",61,76,3000,19,2022,Germany,Right,3,2,0,61,52,61,61,54,53,52,50,57,67,42,62,52,45,64,59,62,61,62,63,66,64,62,61,49,47,51,56,57,61,47,54,51,55,51,6,6,13,9,15,0,775000
S. McGurk,"CAM, LM",61,80,4000,18,2024,England,Right,3,2,2100000,72,59,60,61,43,50,54,61,49,67,48,59,52,53,56,61,73,72,70,63,58,59,47,55,51,64,43,34,47,60,51,59,41,47,45,5,11,7,7,5,0,825000
Sergio Díaz,GK,61,70,900,23,2022,Spain,Right,3,1,1100000,50,50,50,50,50,50,12,6,10,50,9,10,11,13,35,18,37,30,46,48,42,46,61,21,41,5,22,14,4,41,17,34,7,17,23,62,58,61,63,63,34,625000
K. Hinokio,"CAM, CF",61,67,1000,20,2022,Japan,Right,3,2,0,62,56,58,66,31,42,55,52,33,61,42,66,56,51,57,63,61,62,77,54,91,63,57,63,33,63,34,29,53,61,49,58,33,28,31,11,13,14,13,6,0,500000
J. Sumiyoshi,CB,61,68,2000,23,2025,Japan,Right,3,2,870000,63,29,45,47,59,66,49,22,62,56,36,42,47,35,38,48,66,61,58,62,57,41,71,56,73,28,62,58,28,28,46,46,53,64,60,14,14,9,7,7,0,600000
Markel Lozano,"CM, CDM, CB",61,65,1000,25,2022,Spain,Right,3,2,731000,59,41,61,58,60,69,52,38,57,71,34,55,43,44,67,65,55,63,56,62,49,48,64,68,74,42,58,59,38,56,51,52,61,61,61,9,9,11,13,11,0,450000
Oier Luengo,"CB, LB",61,67,1000,23,2022,Spain,Right,3,2,831000,62,32,43,47,61,67,34,27,64,51,34,42,36,36,43,50,61,62,49,52,54,44,68,60,71,27,65,56,31,39,40,51,61,63,61,10,13,9,11,12,0,475000
M. Ouadah,"CAM, LM, CM",61,62,1000,26,2023,France,Right,3,2,684000,66,49,59,69,36,43,59,48,35,64,49,71,46,43,56,70,65,67,63,57,79,53,55,44,40,43,48,25,51,59,55,61,40,37,46,11,15,11,12,11,0,375000
Pedro Teixeira,GK,61,74,600,19,2025,Portugal,Right,2,1,1800000,50,50,50,50,50,50,10,5,13,22,9,7,12,10,25,10,27,29,32,50,23,44,48,28,62,5,21,6,7,36,10,24,7,11,13,62,60,59,61,63,28,675000
E. Yilmaz,CAM,61,62,800,26,2022,Germany,Right,3,2,572000,65,51,61,64,37,51,57,53,52,66,38,61,52,41,65,63,70,60,80,51,78,49,56,52,48,48,55,33,58,61,49,60,33,38,43,14,14,6,15,13,0,375000
O. Pohlmann,RM,61,72,700,20,2023,Germany,Right,3,2,1200000,70,54,57,64,30,57,59,55,41,61,54,66,57,46,57,63,75,66,68,42,69,59,60,60,64,49,37,24,53,51,47,56,31,29,33,11,15,8,15,9,0,725000
L. Gondou,ST,61,73,2000,20,2022,Argentina,Left,2,2,1300000,53,61,46,56,25,60,30,70,69,54,42,53,49,46,34,63,55,52,57,60,49,49,71,54,74,57,32,19,58,54,73,49,17,24,16,6,10,6,14,13,0,800000
Ander Zoilo,LB,61,69,900,21,2023,Spain,Left,3,2,1200000,71,34,42,58,61,54,55,34,52,40,28,62,43,36,35,50,73,70,67,54,73,29,59,65,47,32,57,63,48,39,46,45,59,64,62,6,8,9,9,10,0,700000
A. Ranacher,"RM, RB",61,67,2000,22,2025,Austria,Right,3,3,866000,78,49,56,58,53,61,62,48,49,63,44,55,58,39,57,60,75,80,63,54,75,57,61,85,50,45,58,50,51,42,51,42,55,53,60,10,9,8,11,10,0,525000
Barba,LB,61,70,2000,22,2022,Spain,Left,3,2,1300000,64,42,50,61,59,51,60,41,57,54,37,63,40,36,46,57,66,63,61,56,68,44,55,60,43,38,57,59,60,43,43,59,60,58,61,9,9,10,7,6,0,700000
S. Al Manthari,GK,61,65,500,26,2024,United Arab Emirates,Right,3,1,779000,50,50,50,50,50,50,12,5,12,16,7,8,11,10,20,12,27,35,41,49,45,41,64,24,64,9,28,9,7,33,19,34,6,13,11,66,58,54,63,60,30,350000
R. Friedrich,ST,61,79,4000,18,2022,Germany,Right,4,2,1900000,67,63,47,59,21,39,36,66,67,54,53,57,44,42,40,57,69,66,67,55,84,64,65,50,33,55,32,17,64,52,68,54,15,15,16,9,7,12,15,13,0,825000
P. Sciortino,CDM,61,74,500,17,2024,France,Right,3,2,1800000,54,40,54,53,61,60,43,33,56,63,38,53,47,38,60,55,55,54,49,53,58,55,56,59,57,36,70,63,40,52,53,44,57,64,60,14,10,8,12,6,0,700000
A. Nankishi,LW,61,77,1000,18,2024,Germany,Right,3,2,1800000,86,51,52,67,29,47,52,51,29,58,50,70,56,39,47,62,88,84,71,61,70,57,63,60,46,49,27,50,47,46,47,59,21,27,19,10,13,9,14,15,0,825000
